Action ID	Label	Description	Context Categories	Source Origins	Notes
action-new-shared-ritual	New shared ritual	Create a little recurring ritual after a bigger milestone	connection-attention:1.00	reward|Rewards Bonus|65	Should stay enjoyable, not obligation.
action-new-game-night	New-game night	Try a cheap/free co-op game together	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|32	Novelty + connection.
action-no-batching-allowed	No batching allowed	Move or process one item at a time — efficiency frustration	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|63	Safety/structure: Light objects, short task.
action-no-caveats-on-first-answer	No caveats on first answer	must commit before qualifying	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|59	Safety/structure: Low-stakes question only.
action-no-correcting-taylors-harmless-phrasing-until-invited	No correcting Taylor's harmless phrasing until invited	suppressed correction impulse	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|62	Safety/structure: Never use for meaningful misunderstandings.
action-no-explaining-for-60-seconds-after-being-asked-a-harmless-question	No explaining for 60 seconds after being asked a harmless question	blocks immediate external processing	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|52	Safety/structure: Never use during genuine conflict/distress.
action-no-flavored-drinks-sweets-for-a-short-window	No flavored drinks / sweets for a short window	Simple aversive consequence	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|48	Avoid if it conflicts with nutritional needs.
action-no-parallel-processing	No parallel processing	Must finish one tiny task fully before touching the next — blocked concurrency	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|68	Safety/structure: Short set.
action-no-reordering-the-list	No reordering the list	Complete items exactly top-to-bottom — sequencing denial	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|76	Safety/structure: All items equivalent/safe.
action-no-reorganizing-the-instructions-into-a-better-system	No reorganizing the instructions into a better system	Meta-optimization denial	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|91	Safety/structure: Short-lived.
action-no-revision-after-submission	No revision after submission	Once delivered, cannot immediately improve it — finality discomfort	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|70	Safety/structure: Can discuss learnings later.
action-no-revision-after-submission-for-10-minutes	No revision after submission for 10 minutes	finality discomfort	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|73	Safety/structure: Can revise later.
action-no-shortcuts	No shortcuts	Follow every written step exactly — process submission	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|66	Safety/structure: No pointless physical exertion.
action-no-shortcuts-allowed	No shortcuts allowed	procedural submission	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|77	Safety/structure: No needless physical strain.
action-no-shortcuts-allowed-for-a-tiny-task	No shortcuts allowed for a tiny task	Blocked optimization	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|83	Safety/structure: Task should take only a few minutes.
action-no-complaining-board-game-pick	No-complaining board-game pick	Jackie picks the game and Taylor commits	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|34	Playful framing.
action-no-decisions-token	No-decisions token	Taylor handles harmless choices for a set window	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|39	Jackie can override genuine needs.
action-no-getting-up-privilege	No-getting-up privilege	Once settled, Taylor fetches small forgotten things	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|17	Reasonable items only.
action-old-photos-night	Old-photos night	Look through photos together	connection-attention:1.00	reward|Rewards Bonus|62	Memory-sharing.
action-one-ankle-covered-one-exposed	One ankle covered, one exposed	Temperature/tactile mismatch	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|6	Safety/structure: Keep room temperature comfortable.
action-one-cuff-buttoned-one-unbuttoned	One cuff buttoned, one unbuttoned	Clothing mismatch	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|9	Safety/structure: Avoid anything tight.
action-one-forearm-under-cool-running-water-while-other-stays-dry	One forearm under cool running water while other stays dry	cold + asymmetry	sensory-intensity:1.00	punishment|Sensory-Control 100|14	Safety/structure: Short and comfortable enough to remain safe.
action-one-hand-clean-one-intentionally-slightly-sticky	One hand clean, one intentionally slightly sticky	One-sided residue mismatch	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|15	Safety/structure: Use food-safe, non-irritating substance.
action-one-hand-gloved-one-bare	One hand gloved, one bare	Different texture/temperature on each hand	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|7;punishment|Sensory-Control 100|27	Safety/structure: Use breathable glove; short duration. | Safety/structure: Loose breathable glove.
action-one-minute-of-intentional-silence-while-seated-together	One minute of intentional silence while seated together	denied talking outlet	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|65	Safety/structure: Not during emotional rupture.
action-one-pant-leg-cuffed-one-uncuffed	One pant leg cuffed, one uncuffed	Visual + tactile imbalance	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|4;punishment|Sensory-Control 100|25	Safety/structure: Keep walking-safe. | Safety/structure: No walking hazard.
action-one-recommendation-one-risk	One recommendation + one risk	Forbidden from sprawling alternatives — decisiveness + compression	accountability-structure:1.00	punishment|Cognitive 100|90	Safety/structure: Low-stakes topic.
action-one-shoe-on-one-shoe-off-while-seated	One shoe on, one shoe off while seated	Uneven foot sensation	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|5;punishment|Sensory-Control 100|28	Safety/structure: Seated only; no walking. | Safety/structure: Seated only.
action-one-side-gets-lotion-other-stays-dry	One side gets lotion, other stays dry	residue asymmetry	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|32	Safety/structure: Skin-safe lotion.
action-one-side-gets-lotion-the-other-stays-dry	One side gets lotion, the other stays dry	Texture contrast	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|14	Safety/structure: Use skin-safe lotion.
action-one-side-of-a-hoodie-zipped-arranged-right-the-other-slightly-off	One side of a hoodie zipped/arranged 'right,' the other slightly off	Persistent asymmetry cue	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|19	Safety/structure: No choking/neck pressure.
action-one-side-of-a-pillow-blanket-arranged-perfectly-the-other-intentionally-rumpled	One side of a pillow/blanket arranged perfectly, the other intentionally rumpled	Visual + tactile mismatch	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|16	Safety/structure: Keep sleep itself out of punishment.
action-one-side-of-blanket-tucked-other-loose	One side of blanket tucked, other loose	uneven pressure	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|29	Safety/structure: No breathing restriction.
action-one-side-of-body-gets-a-brief-cool-rinse-other-remains-warm	One side of body gets a brief cool rinse, other remains warm	temperature asymmetry	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|36	Safety/structure: Non-slip, short duration.
action-one-side-of-clothing-aligned-neatly-other-deliberately-crooked	One side of clothing aligned neatly, other deliberately crooked	persistent wrongness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|35	Safety/structure: No restrictive folds.
action-one-side-of-hair-brushed-neatly-the-other-left-messy	One side of hair brushed neatly, the other left messy	Visual/tactile incompleteness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|13	Safety/structure: No painful tangles.
action-one-side-of-hair-brushed-other-left-messy	One side of hair brushed, other left messy	visual/tactile incompleteness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|30	Safety/structure: No tangling.
action-one-sleeve-cuffed-neatly-the-other-crooked	One sleeve cuffed neatly, the other crooked	Visual/tactile mismatch	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|18	Safety/structure: Keep comfortable.
action-one-sleeve-rolled-up-one-sleeve-down	One sleeve rolled up, one sleeve down	Uneven skin/clothing sensation	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|3	Safety/structure: No circulation restriction.
action-one-sleeve-up-one-sleeve-down	One sleeve up, one sleeve down	skin/clothing asymmetry	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|24	Safety/structure: Comfortable fit.
action-one-slightly-damp-sock	One slightly damp sock	wet fabric + asymmetry	sensory-intensity:1.00	punishment|Sensory-Control 100|45	Safety/structure: Clean water, short duration.
action-one-sock-on-one-sock-off	One sock on, one sock off	Persistent body asymmetry	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|2;punishment|Sensory-Control 100|22	Safety/structure: Short, bounded duration; remove immediately if distress stops being playful. | Safety/structure: Short bounded duration.
action-one-sock-pulled-perfectly-smooth-the-other-slightly-bunched	One sock pulled perfectly smooth, the other slightly bunched	Localized fabric wrongness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|17	Safety/structure: No constriction; short duration.
action-one-sock-smooth-the-other-slightly-bunched	One sock smooth, the other slightly bunched	fabric mismatch + urge to fix	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|23	Safety/structure: No constriction.
action-one-task-disappears	One task disappears	Taylor fully takes one minor task off Jackie's plate	care-pampering:0.50;service:1.00	reward|Rewards Bonus|21	Non-essential, one-off.
action-one-tool-only	One tool only	Complete a trivial task with one pre-approved tool — artificial constraint	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|65	Safety/structure: Tool must be safe and suitable.
action-one-wrist-wearing-a-soft-band-other-bare	One wrist wearing a soft band, other bare	one-sided awareness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|31	Safety/structure: Loose fit.
action-one-wrist-wearing-a-soft-band-the-other-bare	One wrist wearing a soft band, the other bare	One-sided awareness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|12	Safety/structure: Loose enough for normal circulation.
action-one-hour-daddy-decides-the-harmless-stuff-window	One-hour 'Daddy decides the harmless stuff' window	D/s recognition + mental rest	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|51	Never includes essentials, finances, work, or health decisions.
action-one-sentence-maximum-response	One-sentence maximum response	forced concision	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|58	Safety/structure: Harmless topic.
action-one-slide-presentation	One-slide presentation	Explain a topic using one slide / one screen only — compression + format discipline	accountability-structure:1.00	punishment|Cognitive 100|26	Safety/structure: No need for polished visuals.
action-only-one-side-receives-agreed-impact	Only one side receives agreed impact	Physical imbalance / incompleteness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|20;punishment|Sensory-Control 100|33	Safety/structure: Use conservative impact; asymmetry should do the work, not excess force. | Safety/structure: Conservative impact; asymmetry is the point.
action-only-one-thigh-gets-agreed-pinching-scratching	Only one thigh gets agreed pinching/scratching	one-sided after-sensation	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|34	Safety/structure: No skin damage.
action-only-one-thigh-receives-agreed-pinching-scratching	Only one thigh receives agreed pinching/scratching	One-sided after-sensation	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|21	Safety/structure: Stay within negotiated low-risk areas; no skin damage.
action-open-a-snack-package-very-slowly-under-instruction	Open a snack/package very slowly under instruction	Delayed gratification + pacing	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|73	Safety/structure: Not when actually hungry/needs food.
action-organize-pens-by-color-but-leave-one-in-the-wrong-group	Organize pens by color but leave one in the wrong group	Classification disruption	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|39	Safety/structure: Tiny setup.
action-organize-pens-by-color-with-one-misplaced	Organize pens by color with one misplaced	classification disruption	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|88	Safety/structure: Tiny setup.
action-pain-followed-by-stillness	Pain followed by stillness	after-sensation + obedience — no immediately squirming it off	accountability-structure:0.50;playful-psychological:0.75	punishment|Pain Batch 2|31	
action-pause-before-marking-a-task-complete	Pause before marking a task complete	delayed closure	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|79	Safety/structure: Known short timer.
action-perfectly-even-massage-on-both-sides	Perfectly even massage on both sides	symmetry + sensory completion	sensory-intensity:1.00	reward|Rewards 100|82	Mirror of asymmetry punishments.
action-perfectly-organized-snack-drink-station	Perfectly organized snack/drink station	order + indulgence	sensory-intensity:1.00	reward|Rewards 100|88	Reward is setup and care.
action-perform-a-familiar-routine-in-deliberately-separated-micro-steps	Perform a familiar routine in deliberately separated micro-steps	Breaks automatic flow	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|79	Safety/structure: Don't disrupt medical/hygiene needs.
action-permission-required-to-shift-position	Permission required to shift position	loss of control — micro-obedience	protocol-obedience:1.00	punishment|Creative Pain 100|63;punishment|Creative Punishments|13	Safety/structure: Time-bounded. | Time-bounded.
action-permission-required-to-speak	Permission required to speak	verbal restraint — focus + control	protocol-obedience:1.00	punishment|Creative Pain 100|64;punishment|Creative Punishments|14	Safety/structure: Safety communication always unrestricted. | Safewords / necessary communication always exempt.
action-permission-to-be-annoying-window	Permission-to-be-annoying window	Jackie gets a short playful pestering window	playful-psychological:1.00	reward|Rewards Bonus|77	Agree boundaries in advance.
action-phone-free-game-together	Phone-free game together	undivided shared attention	connection-attention:1.00	reward|Rewards 100|22	Choose a game both enjoy.
action-pick-a-single-color-theme-for-a-tiny-project	Pick a single color/theme for a tiny project	No palette hedging — commitment	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|19	Safety/structure: Harmless creative task.
action-pick-dinner-completely-solo	Pick dinner completely solo	Must choose restaurant/place, exact order, sides/drinks, and timing with no input — decision ownership + no delegation	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|2	Safety/structure: Use only low-stakes choices; no allergy/medical constraints.
action-pick-dinner-completely-with-no-input	Pick dinner completely with no input	decision ownership	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|92	Safety/structure: Food itself is never withheld/punished; this is only choice burden.
action-pick-one-of-three-imperfect-solutions	Pick one of three imperfect solutions	No option is ideal — tolerating tradeoffs	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|15	Safety/structure: Use fictional or harmless scenarios.
action-pick-one-tiny-item-under-a-set-budget	Pick one tiny item under a set budget	choice + treat	choice-privilege:1.00	reward|Rewards 100|60	Could be cosmetic, hobby, etc.
action-pick-soft-fruit-pieces-out-of-a-bowl-of-water	Pick soft fruit pieces out of a bowl of water	Wet + soft + fine-motor focus	sensory-intensity:1.00	punishment|Nontraditional 100|48	Safety/structure: Use edible/clean materials.
action-pick-the-movie	Pick the movie	agency + shared time	connection-attention:1.00	reward|Rewards 100|25	Already confirmed reward.
action-pick-the-restaurant-and-order-for-both-from-pre-approved-choices	Pick the restaurant and order for both from pre-approved choices	No outsourcing the final call — decision finality	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|10	Safety/structure: Taylor can veto for real preferences/allergies.
action-pick-a-number-reward	Pick-a-number reward	Jackie chooses a number mapped to a hidden reward	choice-privilege:0.75;playful-psychological:0.75	reward|Rewards Bonus|4	Use only pre-approved rewards.
action-pinch-while-maintaining-eye-contact	Pinch while maintaining eye contact	sharp pressure — vulnerability + composure	sensory-intensity:1.00	punishment|Creative Pain 100|40	Safety/structure: Bounded duration.
action-pinch-and-release-rhythm	Pinch-and-release rhythm	sharp bursts — counting + anticipation	sensory-intensity:1.00	punishment|Creative Pain 100|27	Safety/structure: Easy to modulate.
action-pinwheel-on-agreed-skin-areas	Pinwheel on agreed skin areas	prickly sharp sensation — anticipation + focus	sensory-intensity:1.00	punishment|Creative Pain 100|31	Safety/structure: Avoid broken skin and delicate areas.
action-pinwheel-over-agreed-sensitive-areas	Pinwheel over agreed sensitive areas	prickly sharp sensation — more sharp than deep	sensory-intensity:1.00	punishment|Pain Batch 2|20	
action-place-a-tiny-harmless-crumb-under-one-thigh-while-seated	Place a tiny harmless crumb under one thigh while seated	Irregular tactile signal	sensory-intensity:1.00	punishment|Nontraditional 100|53	Safety/structure: Soft food crumb only; no sharp debris.
action-plan-the-whole-date	Plan the whole date	Choose destination, timing, food, activity, route, and backup plan — full decision burden	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|3	Safety/structure: Budget and hard limits agreed beforehand.
action-plan-the-whole-low-stakes-date	Plan the whole low-stakes date	full planning responsibility	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|93	Safety/structure: Budget/limits pre-agreed.
action-praise-during-massage	Praise during massage	attention + care + recognition	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|77	Keep natural, not scripted unless desired.
action-praise-while-brushing-hair	Praise while brushing hair	care + verbal reinforcement	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|76	Two reward channels together.
action-present-from-a-single-index-card	Present from a single index card	Limited external memory — compression + retrieval	accountability-structure:1.00	punishment|Cognitive 100|93	Safety/structure: Short topic.
action-present-without-reading-verbatim	Present without reading verbatim	Must synthesize rather than recite — performance + mastery	accountability-structure:1.00	punishment|Cognitive 100|92	Safety/structure: Notes allowed as prompts.
action-presentation-first-questions-afterward	Presentation first, questions afterward	must hold thoughts until designated phase	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|66	Safety/structure: Clear time boundaries.
action-presentation-then-one-minute-self-critique	Presentation then one-minute self-critique	Identify one strength and one improvement — metacognition	accountability-structure:1.00	punishment|Cognitive 100|85	Safety/structure: No self-insults.
action-presentation-with-one-interruption-question	Presentation with one interruption question	Must recover and continue — composure	accountability-structure:1.00	punishment|Cognitive 100|84	Safety/structure: Question stays relevant.
action-presentation-with-visible-timer	Presentation with visible timer	Must finish before time expires — time pressure	accountability-structure:1.00	punishment|Cognitive 100|83	Safety/structure: Reasonable time budget.
action-press-fingers-into-cooled-oatmeal	Press fingers into cooled oatmeal	sticky/mushy tactile wrongness	sensory-intensity:1.00	punishment|Sensory-Control 100|50	Safety/structure: Fresh/cooled; wash afterward.
action-press-fingertips-into-cooled-oatmeal-in-a-bowl	Press fingertips into cooled oatmeal in a bowl	Sticky/mushy texture	sensory-intensity:1.00	punishment|Nontraditional 100|60	Safety/structure: Fresh/cooled; wash afterward.
action-project-audience	Project audience	Taylor watches a demo and asks real questions	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|36	Focused attention.
action-put-away-every-item-except-one-left-conspicuously-out	Put away every item except one left conspicuously out	Completion denial	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|34	Safety/structure: Harmless item, known endpoint.
action-put-away-five-objects-with-a-countdown-before-each	Put away five objects with a countdown before each	Anticipation + inefficiency	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|76	Safety/structure: Small number.
action-put-everything-away-except-one-conspicuous-harmless-object	Put everything away except one conspicuous harmless object	unfinished environment	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|89	Safety/structure: Known endpoint.
action-puzzle-together	Puzzle together	shared task + proximity	connection-attention:1.00	reward|Rewards 100|36	Cooperative rather than competitive if preferred.
action-puzzle-problem-reward	Puzzle/problem reward	Taylor finds something interesting for Jackie to solve	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|39	Competence as pleasure.
action-q-and-a-after-brief	Q&A after brief	Present a topic then answer 3 follow-up questions — uncertainty + scrutiny	accountability-structure:1.00	punishment|Cognitive 100|31	Safety/structure: No trick questions.
action-quiet-room-pressure-cuddle	Quiet-room pressure cuddle	Low-stimulation room + pressure/cuddle setup	care-pampering:0.75;sensory-intensity:1.00	reward|Rewards Bonus|74	Comfort-focused.
action-random-compliment-ambush	Random compliment ambush	Taylor gives a specific compliment at an unexpected time	praise-recognition:1.00	reward|Rewards Bonus|10	Specific > generic.
action-random-dessert-mission	Random dessert mission	Go out specifically for dessert	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|30	Spontaneous outing.
action-random-documentary-topic-night	Random documentary/topic night	Learn about something together	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|41	Low-pressure exploration.
action-random-pause-impact-set	Random-pause impact set	sting — unpredictable timing	impact:1.00	punishment|Creative Pain 100|13	Safety/structure: Bounded number and duration.
action-rank-five-fun-activities-from-best-to-worst	Rank five fun activities from best to worst	Forced preference articulation — decision precision	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|12	Safety/structure: No ties for the game.
action-read-a-short-paragraph-aloud-with-deliberate-pauses-after-each-sentence	Read a short paragraph aloud with deliberate pauses after each sentence	Pacing + control	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|71	Safety/structure: No humiliating content.
action-read-back-what-you-wrote-aloud	Read back what you wrote aloud	Vulnerability + accountability	playful-psychological:1.00	punishment|Creative Punishments|25	Can be emotionally intense; allow opt-out.
action-read-reflection-aloud	Read reflection aloud	vulnerability — accountability	playful-psychological:1.00	punishment|Creative Pain 100|90	Safety/structure: Skip if emotionally overwhelming.
action-read-watch-something-together-then-discuss-it	Read/watch something together then discuss it	joint cognition + intimacy	connection-attention:1.00	reward|Rewards 100|33	No serious-analysis requirement.
action-receive-instructions-one-sentence-at-a-time-instead-of-the-whole-plan	Receive instructions one sentence at a time instead of the whole plan	Information throttling	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|81	Safety/structure: Use only for playful tasks.
action-recite-rule-while-holding-posture	Recite rule while holding posture	psychological + muscular burn — turns it into correction, not just exercise	accountability-structure:0.50;playful-psychological:0.75	punishment|Pain Batch 2|25	
action-recite-the-relevant-rule-while-holding-posture	Recite the relevant rule while holding posture	muscle burn + verbal focus — ties sensation to behavior	protocol-obedience:1.00	punishment|Creative Pain 100|72	Safety/structure: Keep wording concise.
action-recreate-an-old-date-reward	Recreate-an-old-date reward	Repeat a favorite memory/date vibe	connection-attention:1.00	reward|Rewards Bonus|61	Nostalgia + connection.
action-redo-only-the-weakest-section	Redo only the weakest section	Cannot rewrite everything — localized correction	accountability-structure:1.00	punishment|Cognitive 100|88	Safety/structure: Five-minute cap.
action-repeat-a-short-acknowledgment-after-each-count	Repeat a short acknowledgment after each count	ritual — behavior-focused correction	protocol-obedience:1.00	punishment|Creative Pain 100|71;punishment|Creative Punishments|19	Safety/structure: Avoid identity-shaming language. | Keep wording behavior-focused, not identity-attacking.
action-repeat-taylors-instruction-back-exactly-before-responding	Repeat Taylor's instruction back exactly before responding	precision + delayed self-expression	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|63	Safety/structure: Short instructions.
action-repeat-the-exact-provided-method-even-after-spotting-a-better-one	Repeat the exact provided method even after spotting a better one	Submission vs systems instinct	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|96	Safety/structure: Only playful, low-stakes tasks.
action-repeated-light-snaps-to-one-safe-area	Repeated light snaps to one safe area	accumulating sting — builds sensation gradually	sensory-intensity:1.00	punishment|Creative Pain 100|39;punishment|Pain Batch 2|22	Safety/structure: Stop before skin damage.
action-replay-a-favorite-night	Replay-a-favorite night	Revisit a comfort game/movie together	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|33	Familiarity as reward.
action-research-roulette	Research roulette	Randomly draw topic + format + time limit — uncertainty + competence	accountability-structure:1.00	punishment|Cognitive 100|37	Safety/structure: All cards pre-approved.
action-respond-only-with-agreed-short-answers	Respond only with agreed short answers	structured control — loss of conversational freedom	protocol-obedience:1.00	punishment|Creative Pain 100|73	Safety/structure: Safewords exempt.
action-respond-only-with-agreed-short-answers-titles	Respond only with agreed short answers/titles	Structured control	protocol-obedience:1.00	punishment|Creative Punishments|20	Safewords remain unrestricted.
action-restart-posture-timer-if-voluntary-fidgeting-occurs	Restart posture timer if voluntary fidgeting occurs	muscle burn — stillness challenge	protocol-obedience:1.00	punishment|Creative Pain 100|75	Safety/structure: Cap restarts so it cannot become endless.
action-restart-if-you-move-posture-hold	Restart-if-you-move posture hold	muscular burn + obedience — strong lizard-brain vs obedience tension	accountability-structure:0.75;protocol-obedience:0.75	punishment|Pain Batch 2|14	
action-return-to-position-after-each-impact	Return to position after each impact	after-sting + movement control — composure	protocol-obedience:1.00	punishment|Creative Pain 100|76	Safety/structure: No forced movement through injury.
action-reverse-reward-draft	Reverse reward draft	Jackie nominates three; Taylor decides which she gets	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|54	Surrender + anticipation.
action-reward-draft	Reward draft	Taylor picks three rewards; Jackie chooses one	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|53	Choice within structure.
action-ridiculous-couple-playlist	Ridiculous couple playlist	Build a shared playlist together	connection-attention:1.00	reward|Rewards Bonus|64	Collaborative + silly.
action-ridiculous-impulse-purchase-token	Ridiculous impulse purchase token	One silly non-practical purchase within a set budget	choice-privilege:0.75;playful-psychological:0.75	reward|Rewards Bonus|7	Budget-capped.
action-riding-crop-taps	Riding crop taps	focused sting — precision + anticipation	impact:1.00	punishment|Creative Pain 100|8;punishment|Pain Batch 2|6	Safety/structure: Use only on agreed safe areas.
action-room-lights-temperature-blankets-set-to-ideal-comfort	Room lights / temperature / blankets set to ideal comfort	environmental optimization	sensory-intensity:1.00	reward|Rewards 100|87	Jackie gets zero setup burden.
action-rubber-band-snap-on-safe-fleshy-area	Rubber-band snap on safe fleshy area	quick sting — sudden correction	sensory-intensity:1.00	punishment|Creative Pain 100|29	Safety/structure: Do not use on face, genitals, or compromised skin.
action-safe-textured-standing-kneeling-surface	Safe textured standing/kneeling surface	Sensory intensity	sensory-intensity:1.00	punishment|Creative Punishments|8	Seek texture/pressure rather than sharpness.
action-scalp-scratches-while-lying-on-taylor	Scalp scratches while lying on Taylor	touch + attachment	care-pampering:1.00	reward|Rewards 100|10	Easy everyday reward.
action-scratch-and-freeze	Scratch-and-freeze	surface sting — react-vs-obey tension	sensory-intensity:1.00	punishment|Creative Pain 100|33	Safety/structure: Safewords and necessary movement exempt.
action-scratching-with-held-stillness	Scratching with held stillness	surface sting + obedience — the 'don't move' part adds intensity	restraint-control:0.75;sensory-intensity:0.75	punishment|Pain Batch 2|11	
action-scratching-without-breaking-skin	Scratching without breaking skin	surface sting — control + immediacy	sensory-intensity:1.00	punishment|Creative Pain 100|32	Safety/structure: Keep nails smooth and skin intact.
action-secret-objective	Secret objective	Taylor privately picks a behavior to notice and surprises Jackie if it happens naturally	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|50	Should reward positive behavior, not trap/failure.
action-sensory-perfection-pass	Sensory perfection pass	Taylor fixes socks/blanket/hair/lighting until everything feels right	care-pampering:0.75;sensory-intensity:1.00	reward|Rewards Bonus|71	Mirror of sensory-wrongness punishments.
action-separate-fact-from-interpretation-verbally	Separate fact from interpretation verbally	Must label what is known vs inferred — epistemic precision	accountability-structure:1.00	punishment|Cognitive 100|96	Safety/structure: Great for fictional scenarios.
action-service-task-under-strict-instructions	Service task under strict instructions	Useful + submissive	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|44	Keep task reasonable and safe.
action-set-a-table-with-one-item-intentionally-off-center	Set a table with one item intentionally off-center	Visual wrongness	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|28	Safety/structure: Keep it playful.
action-shared-youtube-rabbit-hole	Shared YouTube rabbit hole	curiosity + companionship	connection-attention:1.00	reward|Rewards 100|32	Jackie picks topic.
action-short-corner-time	Short corner time	Classic disciplinary vibe	playful-psychological:1.00	punishment|Creative Punishments|55	Keep duration modest.
action-short-staircase-of-posture-holds	Short staircase of posture holds	varied muscle burn — progressive ritual	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|61	Safety/structure: Keep total duration modest.
