Source Sheet	Source File	Source Row	Category	Idea	Description / Sensation	Mechanism / Why It Might Hit	Predicted Fit	Suggested Intensity (1-3)	Safety / Structure Note	Notes
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	37	Sensory Wrongness	Step barefoot on peeled grapes in a tray		wet + yielding + unpredictable squish	Very High		Non-slip setup; clean immediately afterward.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	38	Sensory Wrongness	Squish peeled grapes by hand		mushy + wet + residue	Very High		Food-safe, short duration.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	39	Sensory Wrongness	Mash ripe banana with fingers		sticky + mushy	Very High		Wash afterward.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	40	Sensory Wrongness	Handle cooled cooked pasta		slippery + limp texture	High		Fresh/cooled only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	41	Sensory Wrongness	Touch wet paper and separate stuck sheets		mushy + fragile texture	High		Clean water/paper.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	42	Sensory Wrongness	Hold damp sponge and repeatedly squeeze it		wet compression	High		Clean sponge.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	43	Sensory Wrongness	Fingertips lightly coated in syrup before waiting to wash		sticky residue + delayed relief	Very High		Tiny amount, short wait.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	44	Sensory Wrongness	Lotion on palms with delayed permission to wipe		persistent residue	High		Use tolerated lotion.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	45	Sensory Wrongness	One slightly damp sock		wet fabric + asymmetry	Very High		Clean water, short duration.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	46	Sensory Wrongness	Sit on a deliberately wrinkled towel		persistent uneven tactile input	High		No sharp folds.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	47	Sensory Wrongness	Tiny harmless crumb under thigh while seated		irregular low-level pressure signal	Medium-High		Soft crumb only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	48	Sensory Wrongness	Touch microfiber with dry hands		dry catching texture	High if aversive		Stop if skin irritated.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	49	Sensory Wrongness	Handle a cotton ball with slightly damp fingertips		texture mismatch	Medium-High		Clean materials.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	50	Sensory Wrongness	Press fingers into cooled oatmeal		sticky/mushy tactile wrongness	High		Fresh/cooled; wash afterward.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	51	Sensory Wrongness	Handle a peeled tomato or similar slippery food		slippery + delicate texture	High		Food-safe and contained.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	52	Speech / Processing Restriction	No explaining for 60 seconds after being asked a harmless question		blocks immediate external processing	Very High		Never use during genuine conflict/distress.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	53	Speech / Processing Restriction	Answer in exactly five words		compression + speech constraint	Very High		Low-stakes topic.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	54	Speech / Processing Restriction	Answer only yes/no until released		restricted expression	High		Safety/needs communication always unrestricted.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	55	Speech / Processing Restriction	Write the answer before speaking it		forces internal processing first	High		Short prompt.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	56	Speech / Processing Restriction	State facts first, interpretations second		structured verbal control	Very High		Useful only in playful/low-stakes scenarios.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	57	Speech / Processing Restriction	Wait for 'go' before explaining		delayed externalization	Very High		Short known wait.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	58	Speech / Processing Restriction	One-sentence maximum response		forced concision	Very High		Harmless topic.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	59	Speech / Processing Restriction	No caveats on first answer		must commit before qualifying	High		Low-stakes question only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	60	Speech / Processing Restriction	Three-question quota		must choose clarifying questions carefully	Very High		Harmless assignment.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	61	Speech / Processing Restriction	Ask permission before adding another explanation		meta-control over elaboration	High		Brief window only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	62	Speech / Processing Restriction	No correcting Taylor's harmless phrasing until invited		suppressed correction impulse	Very High		Never use for meaningful misunderstandings.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	63	Speech / Processing Restriction	Repeat Taylor's instruction back exactly before responding		precision + delayed self-expression	High		Short instructions.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	64	Speech / Processing Restriction	Use only a pre-agreed response format		structured expression	High		Safety speech exempt.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	65	Speech / Processing Restriction	One minute of intentional silence while seated together		denied talking outlet	High		Not during emotional rupture.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	66	Speech / Processing Restriction	Presentation first, questions afterward		must hold thoughts until designated phase	Very High		Clear time boundaries.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	67	Optimization / Pacing	Follow an intentionally inefficient but harmless method		systems-brain frustration	Very High		Tiny low-stakes task.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	68	Optimization / Pacing	Move items one at a time instead of batching		blocked optimization	Very High		Light objects only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	69	Optimization / Pacing	Wait 20 seconds between task steps		interrupts momentum	Very High		Short total task.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	70	Optimization / Pacing	Do not multitask during a tiny chore		denial of concurrency	Very High		Brief task only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	71	Optimization / Pacing	Use first acceptable solution		cannot keep searching for optimal	Very High		Low-stakes decision.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	72	Optimization / Pacing	Stop at 'good enough' when Taylor says done		completion-control transfer	Very High		Only harmless artifacts.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	73	Optimization / Pacing	No revision after submission for 10 minutes		finality discomfort	Very High		Can revise later.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	74	Optimization / Pacing	Complete task in Taylor's chosen order		loss of prioritization control	Very High		All tasks nonessential.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	75	Optimization / Pacing	Ask for each next step instead of seeing whole plan		information throttling	Very High		Known total length.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	76	Optimization / Pacing	Use a fixed template without redesigning it		format-control surrender	High		Temporary artifact.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	77	Optimization / Pacing	No shortcuts allowed		procedural submission	Very High		No needless physical strain.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	78	Optimization / Pacing	Write five lines very slowly and neatly		forced pacing	Very High		Avoid hand strain.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	79	Optimization / Pacing	Pause before marking a task complete		delayed closure	High		Known short timer.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	80	Optimization / Pacing	Explain the better method but still use assigned method		optimization denied after recognition	Very High		Tiny harmless task.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	81	Optimization / Pacing	Watch Taylor do a harmless task inefficiently without correcting		suppressed optimization urge	Very High		No consequential task.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	82	Incompleteness	Align four objects but leave one crooked		visual incompleteness	High		Harmless objects.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	83	Incompleteness	Fold a towel halfway and leave it		completion itch	High		Short duration.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	84	Incompleteness	Tiny puzzle stopped one piece before completion		near-completion frustration	Very High		Small puzzle.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	85	Incompleteness	Checklist with one harmless item left unchecked		open-loop tension	Very High		Never essential tasks.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	86	Incompleteness	Make bed except one wrinkled corner		visible imperfection	High		Not during sleep time.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	87	Incompleteness	Sort cards but leave one intentionally out of order		pattern violation	High		Small set.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	88	Incompleteness	Organize pens by color with one misplaced		classification disruption	High		Tiny setup.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	89	Incompleteness	Put everything away except one conspicuous harmless object		unfinished environment	High		Known endpoint.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	90	Incompleteness	Write a list with one bullet intentionally unfinished		language completion itch	High		Short duration.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	91	Incompleteness	Build a symmetrical pattern then remove one piece		broken symmetry	Very High		Safe pieces.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	92	Decision / Protocol	Pick dinner completely with no input		decision ownership	Very High		Food itself is never withheld/punished; this is only choice burden.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	93	Decision / Protocol	Plan the whole low-stakes date		full planning responsibility	Very High		Budget/limits pre-agreed.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	94	Decision / Protocol	Choose the movie and commit without reopening		decision finality	High		Low stakes.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	95	Decision / Protocol	Choose one of three imperfect options		tradeoff discomfort	Very High		Fictional or harmless choices.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	96	Decision / Protocol	Taylor chooses the order of three tiny activities		loss of sequencing control	High		All optional.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	97	Decision / Protocol	Ask permission before changing position for five minutes		micro-protocol + control	High		Safety/comfort needs override.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	98	Decision / Protocol	Wait in designated spot until formally dismissed		protocol + anticipation	High		Known short max.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	99	Decision / Protocol	Follow one-step-at-a-time instructions for a simple task		external pacing + submission	Very High		Harmless task.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	100	Decision / Protocol	Formal start-and-release phrase for punishment		ritual + containment	High		Explicitly marks beginning/end.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	101	Decision / Protocol	Mystery consequence from a pre-approved sensory/protocol list		uncertainty + surrendered choice	Very High		Only already-consented options; no food/drink deprivation or domestic-service punishments.	
Creative Punishments	creative_punishment_idea_bank.csv	2	Physical	Wall sit		Burn + endurance + being told to hold		2		Keep time bounded and posture safe.
Creative Punishments	creative_punishment_idea_bank.csv	3	Physical	Kneeling in a designated posture		Ritual + stillness		2		Use a safe surface; avoid joint injury.
Creative Punishments	creative_punishment_idea_bank.csv	4	Physical	Arms held out with a light object		Muscle fatigue + obedience		2		Keep the object light and duration short.
Creative Punishments	creative_punishment_idea_bank.csv	5	Physical	Hold a book overhead		Awkward endurance		2		Stop for numbness, sharp pain, or joint strain.
Creative Punishments	creative_punishment_idea_bank.csv	6	Physical	Slow squat hold		Controlled discomfort		2		Short intervals; avoid pushing through joint pain.
Creative Punishments	creative_punishment_idea_bank.csv	7	Physical	Tiptoe hold against wall		Balance + burn		2		Use wall support and short intervals.
Creative Punishments	creative_punishment_idea_bank.csv	8	Physical	Safe textured standing/kneeling surface		Sensory intensity		2-3		Seek texture/pressure rather than sharpness.
Creative Punishments	creative_punishment_idea_bank.csv	9	Physical	Clothespins on agreed low-risk areas		Localized sensation + anticipation		2-3		Pre-agree placement and duration.
Creative Punishments	creative_punishment_idea_bank.csv	10	Physical	Brief cold-object hold in hand		Sharp sensory input		2		Short, controlled exposure only.
Creative Punishments	creative_punishment_idea_bank.csv	11	Physical	Firm pressure massage used as discipline		Intense sensation without impact		1-2		Avoid vulnerable areas.
Creative Punishments	creative_punishment_idea_bank.csv	12	Obedience	Don't-move drill		Lizard brain vs conscious submission		2		Safewords and necessary movement always override.
Creative Punishments	creative_punishment_idea_bank.csv	13	Obedience	Permission required to shift position		Loss of control		2		Time-bounded.
Creative Punishments	creative_punishment_idea_bank.csv	14	Obedience	Permission required to speak		Verbal restraint		2		Safewords / necessary communication always exempt.
Creative Punishments	creative_punishment_idea_bank.csv	15	Obedience	Stay in place until formally dismissed		Anticipation + authority		2		Use a known maximum duration.
Creative Punishments	creative_punishment_idea_bank.csv	16	Obedience	Hands-on-head / hands-behind-back posture		Visible submission		1-2		Avoid painful shoulder positions.
Creative Punishments	creative_punishment_idea_bank.csv	17	Obedience	Hold eye contact while being corrected		Psychological intensity		2		Easy to stop if it becomes emotionally overwhelming.
Creative Punishments	creative_punishment_idea_bank.csv	18	Obedience	Count each impact/sensation		Keeps attention present		2-3		Use only with already-negotiated physical play.
Creative Punishments	creative_punishment_idea_bank.csv	19	Obedience	Repeat a short acknowledgment after each count		Ritualized discipline		2		Keep wording behavior-focused, not identity-attacking.
Creative Punishments	creative_punishment_idea_bank.csv	20	Obedience	Respond only with agreed short answers/titles		Structured control		1-2		Safewords remain unrestricted.
Creative Punishments	creative_punishment_idea_bank.csv	21	Obedience	Complete a simple command sequence perfectly		Precision + correction		1-2		Keep it playful and achievable.
Creative Punishments	creative_punishment_idea_bank.csv	22	Psychological	Listen to a corrective recording while still/restraint-negotiated		Immersive + focused		3		Pre-agree content; avoid shame/identity attacks.
Creative Punishments	creative_punishment_idea_bank.csv	23	Psychological	Write a short reflection before release		Links consequence to behavior		1-2		Keep it concise and specific.
Creative Punishments	creative_punishment_idea_bank.csv	24	Psychological	Write lines tied to the actual rule		Repetitive + corrective		1		Avoid excessive volume.
Creative Punishments	creative_punishment_idea_bank.csv	25	Psychological	Read back what you wrote aloud		Vulnerability + accountability		2		Can be emotionally intense; allow opt-out.
Creative Punishments	creative_punishment_idea_bank.csv	26	Psychological	Explain what happened without excuses		Directness		2		Behavior-focused, not adversarial.
Creative Punishments	creative_punishment_idea_bank.csv	27	Psychological	State what you'll do differently next time		Closure		1		Good for resolving the consequence cleanly.
Creative Punishments	creative_punishment_idea_bank.csv	28	Psychological	Wait in position before knowing the punishment		Anticipation		2-3		Use a pre-agreed maximum wait.
Creative Punishments	creative_punishment_idea_bank.csv	29	Psychological	Mystery punishment from a pre-approved pool		Uncertainty		2-3		Only draw from already-approved options.
Creative Punishments	creative_punishment_idea_bank.csv	30	Psychological	Taylor chooses from three agreed options		Surrendered choice		2		All choices remain pre-consented.
Creative Punishments	creative_punishment_idea_bank.csv	31	Psychological	Jackie chooses her own punishment from three		Self-selection intensifies accountability		2		Can create interesting psychological weight.
Creative Punishments	creative_punishment_idea_bank.csv	32	Psychological	Timer visible		Watching the consequence happen		1-2		Known endpoint can increase ritual feel.
Creative Punishments	creative_punishment_idea_bank.csv	33	Psychological	Timer hidden with a known max		Bounded uncertainty		2-3		The maximum should be explicit in advance.
Creative Punishments	creative_punishment_idea_bank.csv	34	Sensory	Blindfold + silence		Deprivation + anticipation		2-3		Maintain easy safeword/signal access.
Creative Punishments	creative_punishment_idea_bank.csv	35	Sensory	Blindfold + verbal instruction only		Dependence on voice		2-3		Keep environment physically safe.
Creative Punishments	creative_punishment_idea_bank.csv	36	Sensory	Headphones + recording		Isolation + immersion		3		Ensure an immediate stop signal is still available.
Creative Punishments	creative_punishment_idea_bank.csv	37	Sensory	Alternating warm/cool sensations		Nervous-system contrast		2		Avoid temperature extremes.
Creative Punishments	creative_punishment_idea_bank.csv	38	Sensory	Texture-based task		Sensory focus + stillness		1-2		Use non-damaging textures.
Creative Punishments	creative_punishment_idea_bank.csv	39	Sensory	Strong but safe scent paired with punishment ritual		Association / conditioning		1		Avoid irritants/allergens.
Creative Punishments	creative_punishment_idea_bank.csv	40	Mixed	Wall sit while listening to correction		Physical + psychological		3		Keep both duration and wording bounded.
Creative Punishments	creative_punishment_idea_bank.csv	41	Mixed	Kneel, count, then reflection		Ritual + discomfort + accountability		2-3		Useful as a contained start-to-finish ritual.
Creative Punishments	creative_punishment_idea_bank.csv	42	Mixed	Impact followed by immediate return to posture		Composure requirement		3		Use only with already-negotiated impact play.
Creative Punishments	creative_punishment_idea_bank.csv	43	Mixed	Hold position while answering questions		Divided attention		2		Questions should clarify, not interrogate.
Creative Punishments	creative_punishment_idea_bank.csv	44	Mixed	Service task under strict instructions		Useful + submissive		1-2		Keep task reasonable and safe.
Creative Punishments	creative_punishment_idea_bank.csv	45	Mixed	Clean or organize one specific thing as restitution		Tangible corrective result		1		Good low-intensity option.
Creative Punishments	creative_punishment_idea_bank.csv	46	Mixed	Lose choice of movie/food/activity for the evening		Behavioral consequence		1		Keep ordinary affection outside the reward economy.
Creative Punishments	creative_punishment_idea_bank.csv	47	Mixed	Delayed access to a treat		Anticipation + denial		1		Short and clearly bounded.
Creative Punishments	creative_punishment_idea_bank.csv	48	Mixed	No flavored drinks / sweets for a short window		Simple aversive consequence		1		Avoid if it conflicts with nutritional needs.
Creative Punishments	creative_punishment_idea_bank.csv	49	Mixed	Taylor chooses outfit/activity/meal for a period		Loss of choice		1-2		Choices still respect limits and practical needs.
Creative Punishments	creative_punishment_idea_bank.csv	50	Mixed	Correction ritual ending with formal release		Containment + closure		2		Explicit 'done/resolved' ending can prevent lingering shame.
Creative Punishments	creative_punishment_idea_bank.csv	51	Mixed	Earn release by completing a tiny task		Resolution + closure		1-2		Avoid open-ended or escalating demands.
Creative Punishments	creative_punishment_idea_bank.csv	52	Playful	Carry a note/card saying what rule was broken		Mild embarrassment + reminder		1		Keep private/public exposure within explicit consent.
Creative Punishments	creative_punishment_idea_bank.csv	53	Playful	Wear a silly agreed 'I got a demerit' token		Visible consequence		1		Only in contexts both agree to.
Creative Punishments	creative_punishment_idea_bank.csv	54	Playful	Ask permission for one normally automatic privilege		Temporary power shift		1-2		Time-bounded and never applies to necessities.
Creative Punishments	creative_punishment_idea_bank.csv	55	Playful	Short corner time		Classic disciplinary vibe		1		Keep duration modest.
Creative Punishments	creative_punishment_idea_bank.csv	56	Playful	Write an apology in intentionally formal language		Absurd + corrective		1		Can keep the tone playful.
Creative Punishments	creative_punishment_idea_bank.csv	57	Playful	Tiny service ritual before returning to normal		Symbolic restitution		1		Good for quick closure.
Pain Batch 2	pain_punishment_batch_2.csv	2	Impact	Cane taps to thighs/butt	sharp, precise sting	highly disciplinary feel				
Pain Batch 2	pain_punishment_batch_2.csv	3	Impact	Slapper / leather paddle	fast sting with sound	anticipation + noise add psychological weight				
Pain Batch 2	pain_punishment_batch_2.csv	4	Impact	Wooden spoon	small, sharp impact	strong domestic-discipline association				
Pain Batch 2	pain_punishment_batch_2.csv	5	Impact	Hairbrush spanking	dense sting/thud	classic disciplinary association				
Pain Batch 2	pain_punishment_batch_2.csv	6	Impact	Riding crop taps	focused sting	controlled, targeted sensation				
Pain Batch 2	pain_punishment_batch_2.csv	7	Localized pain	Flicking	tiny sharp bursts	annoying, repeatable, psychologically irritating				
Pain Batch 2	pain_punishment_batch_2.csv	8	Localized pain	Fingernail pinches	narrow, sharp pressure	precise and easy to pair with obedience				
Pain Batch 2	pain_punishment_batch_2.csv	9	Localized pain	Sustained pinch hold	ache + pressure	more endurance than quick pain				
Pain Batch 2	pain_punishment_batch_2.csv	10	Control-linked pain	Bite-and-hold	pressure + sharpness	combines pain with control				
Pain Batch 2	pain_punishment_batch_2.csv	11	Control-linked pain	Scratching with held stillness	surface sting + obedience	the 'don't move' part adds intensity				
Pain Batch 2	pain_punishment_batch_2.csv	12	Impact	Alternating sting/thud impacts	unpredictable contrast	keeps the nervous system guessing				
Pain Batch 2	pain_punishment_batch_2.csv	13	Psychological amplification	Slow impact countdown	anticipation-heavy	psychologically stronger without needing higher force				
Pain Batch 2	pain_punishment_batch_2.csv	14	Endurance / obedience	Restart-if-you-move posture hold	muscular burn + obedience	strong lizard-brain vs obedience tension				
Pain Batch 2	pain_punishment_batch_2.csv	15	Mixed	Wall sit + counted taps	burn + impact + counting	layered punishment without needing extreme intensity				
Pain Batch 2	pain_punishment_batch_2.csv	16	Mixed	Kneeling + hand spanking	pressure + impact	strong ritual / discipline energy				
Pain Batch 2	pain_punishment_batch_2.csv	17	Endurance	Plank hold	full-body burn	clear endurance punishment				
Pain Batch 2	pain_punishment_batch_2.csv	18	Endurance / obedience	Arms-out hold after impact	muscle fatigue + composure	requires staying controlled after pain				
Pain Batch 2	pain_punishment_batch_2.csv	19	Endurance / obedience	Tiptoe hold + correction	calf burn + balance	annoying and obedience-heavy				
Pain Batch 2	pain_punishment_batch_2.csv	20	Sharp sensory	Pinwheel over agreed sensitive areas	prickly sharp sensation	more sharp than deep				
Pain Batch 2	pain_punishment_batch_2.csv	21	Sharp sensory	Firm brush strokes on skin	prickly / stingy	can feel corrective rather than soothing				
Pain Batch 2	pain_punishment_batch_2.csv	22	Localized pain	Repeated light snaps to one safe area	accumulating sting	builds sensation gradually				
Pain Batch 2	pain_punishment_batch_2.csv	23	Psychological amplification	Delayed impact	anticipation > force	waiting before each one adds psychological weight				
Pain Batch 2	pain_punishment_batch_2.csv	24	Psychological amplification	Count backward through impacts	cognitive load + pain	keeps attention focused and obedient				
Pain Batch 2	pain_punishment_batch_2.csv	25	Mixed	Recite rule while holding posture	psychological + muscular burn	turns it into correction, not just exercise				
Pain Batch 2	pain_punishment_batch_2.csv	26	Psychological	Choose-your-own implement	self-selected punishment	can feel more intense psychologically				
Pain Batch 2	pain_punishment_batch_2.csv	27	Psychological	Mystery implement from approved set	uncertainty	ominous/fun without changing negotiated limits				
Pain Batch 2	pain_punishment_batch_2.csv	28	Psychological	Silent impact round	pain + no chatter	more serious / ritualistic tone				
Pain Batch 2	pain_punishment_batch_2.csv	29	Psychological	Eye-contact impact	psychological intensity	harder to mentally detach				
Pain Batch 2	pain_punishment_batch_2.csv	30	Ritual	Formal inspection after punishment	vulnerability + closure	gives the punishment a ritual arc				
Pain Batch 2	pain_punishment_batch_2.csv	31	Mixed	Pain followed by stillness	after-sensation + obedience	no immediately squirming it off				
