Catalog ID	Category ID	Kink	Category	Description	Typical Role	Primary Mode	Intensity	Risk Level	Master Interest	Master Giving	Master Receiving	pet Interest	pet Giving	pet Receiving	Hard Limit?	Scene Use	Discussed?	Notes	Research Source(s)	Source URL(s)	Catalog Status
neck-fetish	body-part-sensory-fetishes	Neck fetish	Body-Part & Sensory Fetishes	Erotic focus on neck appearance/touch.	Both	Aesthetic/Sensory	Low-Moderate	Moderate										Avoid dangerous neck pressure.			Original catalog
back-fetish	body-part-sensory-fetishes	Back fetish	Body-Part & Sensory Fetishes	Erotic focus on the back/body line.	Both	Aesthetic/Sensory	Low	Low													Original catalog
voice-fetish	body-part-sensory-fetishes	Voice fetish	Body-Part & Sensory Fetishes	Erotic attraction to particular voices/tones.	Both	Aesthetic/Sensory	Low	Low													Original catalog
scent-fetish	body-part-sensory-fetishes	Scent fetish	Body-Part & Sensory Fetishes	Erotic attraction to body scent or specific smells.	Both	Aesthetic/Sensory	Low	Low													Original catalog
glasses-fetish	body-part-sensory-fetishes	Glasses fetish	Body-Part & Sensory Fetishes	Attraction to glasses/eyewear aesthetic.	Both	Aesthetic/Sensory	Low	Low													Original catalog
freckles-fetish	body-part-sensory-fetishes	Freckles fetish	Body-Part & Sensory Fetishes	Strong attraction to freckles.	Both	Aesthetic/Sensory	Low	Low													Original catalog
tattoo-fetish	body-part-sensory-fetishes	Tattoo fetish	Body-Part & Sensory Fetishes	Erotic attraction to tattoos/body art.	Both	Aesthetic/Sensory	Low	Low													Original catalog
piercing-fetish	body-part-sensory-fetishes	Piercing fetish	Body-Part & Sensory Fetishes	Erotic attraction to body piercings.	Both	Aesthetic/Sensory	Low	Low													Original catalog
foot-worship	body-part-sensory-fetishes	Foot worship	Body-Part & Sensory Fetishes	Reverential attention to feet within fetish/power exchange.	Receiving	Aesthetic/Sensory	Low	Low													Original catalog
body-worship	body-part-sensory-fetishes	Body worship	Body-Part & Sensory Fetishes	Reverential attention to a partner's body.	Both	Aesthetic/Sensory	Low	Low													Original catalog
messy-play	mess-body-fluid-adjacent	Messy play	Mess & Body-Fluid Adjacent	Enjoyment of consensual mess, residue, or tactile disorder.	Both	Sensory/Psychological	Variable	Low-Variable										Choose body-safe materials.			Original catalog
food-texture-play	mess-body-fluid-adjacent	Food texture play	Mess & Body-Fluid Adjacent	Using safe food textures on hands/body as sensory play.	Both	Sensory/Psychological	Low-Moderate	Low-Moderate										Allergy/hygiene considerations.			Original catalog
sticky-sensation-play	mess-body-fluid-adjacent	Sticky sensation play	Mess & Body-Fluid Adjacent	Using body-safe sticky textures as controlled sensation.	Both	Sensory/Psychological	Low-Moderate	Low-Moderate										Avoid eyes/airways.			Original catalog
mud-play	mess-body-fluid-adjacent	Mud play	Mess & Body-Fluid Adjacent	Using clean/appropriate mud-like materials for tactile mess.	Both	Sensory/Psychological	Moderate	Moderate										Skin/hygiene/environment.			Original catalog
paint-body-paint-play	mess-body-fluid-adjacent	Paint / body-paint play	Mess & Body-Fluid Adjacent	Applying body-safe paint for marking/aesthetic sensation.	Both	Sensory/Psychological	Low-Moderate	Low										Skin-safe products.			Original catalog
spit-kink	mess-body-fluid-adjacent	Spit kink	Mess & Body-Fluid Adjacent	Erotic interest involving consensual saliva exchange or symbolism.	Both	Sensory/Psychological	Moderate	Moderate										Infection/hygiene considerations.			Original catalog
sweat-kink	mess-body-fluid-adjacent	Sweat kink	Mess & Body-Fluid Adjacent	Erotic interest in sweat, scent, or post-exertion body state.	Both	Sensory/Psychological	Low	Low													Original catalog
medical-roleplay	medical-clinical-kinks	Medical roleplay	Medical & Clinical Kinks	Adult roleplay using medical setting/authority aesthetics.	Both	Physical/Psychological	Moderate	Moderate										Keep fantasy separate from real treatment.			Original catalog
examination-roleplay	medical-clinical-kinks	Examination roleplay	Medical & Clinical Kinks	Consensual pretend examination as authority/vulnerability play.	Both	Physical/Psychological	Moderate	Moderate													Original catalog
clinical-restraint-aesthetic	medical-clinical-kinks	Clinical restraint aesthetic	Medical & Clinical Kinks	Medical-looking restraints/setting for roleplay.	Both	Physical/Psychological	Moderate	Moderate										Restraint safety applies.			Original catalog
temperature-taking-roleplay	medical-clinical-kinks	Temperature-taking roleplay	Medical & Clinical Kinks	Benign examination ritual within adult roleplay.	Both	Physical/Psychological	Low	Low										Use safe devices.			Original catalog
bandage-patient-roleplay	medical-clinical-kinks	Bandage / patient roleplay	Medical & Clinical Kinks	Caretaking or vulnerability roleplay with bandages/props.	Both	Physical/Psychological	Low	Low										Do not interfere with actual injuries.			Original catalog
needle-play	medical-clinical-kinks	Needle play	Medical & Clinical Kinks	Intentional skin penetration with sterile needles as specialty BDSM.	Both	Physical/Psychological	High	High										Advanced infection/bloodborne-pathogen risk.			Original catalog
staple-piercing-play	medical-clinical-kinks	Staple / piercing play	Medical & Clinical Kinks	Temporary piercing/staple-style body play.	Both	Physical/Psychological	High	High										Advanced sterile technique required.			Original catalog
breath-play-fantasy	edge-play-high-risk-specialty	Breath-play fantasy	Edge Play / High-Risk Specialty	Erotic interest in breath-control themes or simulated loss of breath.	Both	Physical/Psychological	High	High										Actual oxygen restriction can cause sudden injury/death.			Original catalog
choking-fantasy	edge-play-high-risk-specialty	Choking fantasy	Edge Play / High-Risk Specialty	Erotic fantasy involving neck-control imagery or roleplay.	Both	Physical/Psychological	High	High										Actual neck compression is high risk.			Original catalog
suffocation-fantasy	edge-play-high-risk-specialty	Suffocation fantasy	Edge Play / High-Risk Specialty	Fantasy involving inability to breathe, typically simulated.	Both	Physical/Psychological	High	High										Actual airway obstruction is dangerous.			Original catalog
knife-play	edge-play-high-risk-specialty	Knife play	Edge Play / High-Risk Specialty	Using a knife/blade as fear/sensation prop without cutting.	Both	Physical/Psychological	High	High										High consequence for slips.			Original catalog
blade-sensation	edge-play-high-risk-specialty	Blade sensation	Edge Play / High-Risk Specialty	Using a blunt/controlled edge sensation rather than cutting.	Both	Physical/Psychological	High	High										Extreme care.			Original catalog
fire-play	edge-play-high-risk-specialty	Fire play	Edge Play / High-Risk Specialty	Controlled flame/heat proximity as specialty sensation play.	Both	Physical/Psychological	High	High										Burn/fire risk; specialist skill.			Original catalog
scarification	edge-play-high-risk-specialty	Scarification	Edge Play / High-Risk Specialty	Intentional permanent scarring as body-modification kink.	Both	Physical/Psychological	High	High										Permanent injury/infection risk.			Original catalog
forced-exercise	endurance-positioning	Forced exercise	Endurance & Positioning	Consensual exercise assigned as discipline or control.	Receiving	Physical/Psychological	Moderate	Moderate										Health/fitness limits matter.			Original catalog
wall-sit	endurance-positioning	Wall sit	Endurance & Positioning	Static leg endurance position.	Receiving	Physical/Psychological	Moderate	Moderate										Stop for sharp pain/dizziness.			Original catalog
squat-hold	endurance-positioning	Squat hold	Endurance & Positioning	Static squat position used as endurance.	Receiving	Physical/Psychological	Moderate	Moderate										Knee/back limits.			Original catalog
plank-hold	endurance-positioning	Plank hold	Endurance & Positioning	Static core endurance position.	Receiving	Physical/Psychological	Moderate	Moderate										Shoulder/back limits.			Original catalog
kneeling-endurance	endurance-positioning	Kneeling endurance	Endurance & Positioning	Remaining kneeling for an agreed period.	Receiving	Physical/Psychological	Moderate	Moderate										Protect knees.			Original catalog
standing-still	endurance-positioning	Standing still	Endurance & Positioning	Maintaining stillness as discipline/protocol.	Receiving	Physical/Psychological	Low-Moderate	Low-Moderate										Avoid fainting/locking knees.			Original catalog
hands-behind-back-posture	endurance-positioning	Hands-behind-back posture	Endurance & Positioning	Holding a submissive posture without restraint.	Receiving	Physical/Psychological	Low	Low										Shoulder comfort.			Original catalog
corner-posture	endurance-positioning	Corner posture	Endurance & Positioning	Standing in chosen posture facing corner/wall.	Receiving	Physical/Psychological	Low	Low										Psychological.			Original catalog
stress-position-play	endurance-positioning	Stress-position play	Endurance & Positioning	Holding deliberately tiring positions within safe limits.	Receiving	Physical/Psychological	High	High										Joint/nerve injury risk.			Original catalog
balance-challenge	endurance-positioning	Balance challenge	Endurance & Positioning	Holding a safe balance/posture task under observation.	Receiving	Physical/Psychological	Moderate	Moderate										Avoid fall hazards.			Original catalog
stillness-challenge	endurance-positioning	Stillness challenge	Endurance & Positioning	Remaining motionless during mild agreed sensation.	Receiving	Physical/Psychological	Moderate	Moderate										Safety movement always allowed.			Original catalog
cognitive-task-play	cognitive-competence-play	Cognitive task play	Cognitive & Competence Play	Using puzzles, research, or mental tasks within a scene.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
timed-research-assignment	cognitive-competence-play	Timed research assignment	Cognitive & Competence Play	Researching a harmless topic under a time limit.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
presentation-task	cognitive-competence-play	Presentation task	Cognitive & Competence Play	Giving a short presentation for evaluation.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
oral-examination	cognitive-competence-play	Oral examination	Cognitive & Competence Play	Answering questions under scrutiny within roleplay.	Receiving	Psychological/Cognitive	Moderate	Low-Moderate													Original catalog
closed-book-quiz	cognitive-competence-play	Closed-book quiz	Cognitive & Competence Play	Answering from memory without references.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
precision-writing-task	cognitive-competence-play	Precision writing task	Cognitive & Competence Play	Writing neatly or to exact rules under observation.	Receiving	Psychological/Cognitive	Low	Low													Original catalog
lines-under-distraction	cognitive-competence-play	Lines under distraction	Cognitive & Competence Play	Writing repeated lines while dealing with benign distractions.	Receiving	Psychological/Cognitive	Moderate	Low-Moderate													Original catalog
limited-question-task	cognitive-competence-play	Limited-question task	Cognitive & Competence Play	Allowed only a set number of clarification questions.	Receiving	Psychological/Cognitive	Moderate	Low													Original catalog
no-revision-challenge	cognitive-competence-play	No-revision challenge	Cognitive & Competence Play	Submitting a harmless task without revising after completion.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
good-enough-stopping-rule	cognitive-competence-play	Good-enough stopping rule	Cognitive & Competence Play	Must stop optimizing when told task is sufficient.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
inefficient-method-rule	cognitive-competence-play	Inefficient-method rule	Cognitive & Competence Play	Required to use intentionally suboptimal harmless method.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
sequential-only-rule	cognitive-competence-play	Sequential-only rule	Cognitive & Competence Play	Must complete one step at a time instead of batching.	Receiving	Psychological/Cognitive	Low	Low													Original catalog
wait-for-next-step-protocol	cognitive-competence-play	Wait-for-next-step protocol	Cognitive & Competence Play	Master reveals instructions one step at a time.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
decision-memo	cognitive-competence-play	Decision memo	Cognitive & Competence Play	Receiver must make and defend a low-stakes choice.	Receiving	Psychological/Cognitive	Moderate	Low													Original catalog
defend-the-opposite-exercise	cognitive-competence-play	Defend-the-opposite exercise	Cognitive & Competence Play	Argue a harmless position opposite first preference.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
explain-it-simply-challenge	cognitive-competence-play	Explain-it-simply challenge	Cognitive & Competence Play	Explain a complex concept in a strict simple format.	Receiving	Psychological/Cognitive	Low-Moderate	Low													Original catalog
asymmetry-play	asymmetry-incompleteness-irritation	Asymmetry play	Asymmetry, Incompleteness & Irritation	Creating a deliberately uneven sensory or visual state.	Receiving	Sensory/Psychological	Low-Moderate	Low													Original catalog
one-sock-asymmetry	asymmetry-incompleteness-irritation	One-sock asymmetry	Asymmetry, Incompleteness & Irritation	One sock on/one off or mismatched sock state.	Receiving	Sensory/Psychological	Low	Low													Original catalog
clothing-asymmetry	asymmetry-incompleteness-irritation	Clothing asymmetry	Asymmetry, Incompleteness & Irritation	One sleeve/cuff/side deliberately different.	Receiving	Sensory/Psychological	Low	Low													Original catalog
one-sided-sensation	asymmetry-incompleteness-irritation	One-sided sensation	Asymmetry, Incompleteness & Irritation	Applying agreed sensation to one side only.	Receiving	Sensory/Psychological	Variable	Variable										Do not over-concentrate physical impact.			Original catalog
incomplete-task-play	asymmetry-incompleteness-irritation	Incomplete-task play	Asymmetry, Incompleteness & Irritation	Leaving harmless task deliberately unfinished.	Receiving	Sensory/Psychological	Low	Low													Original catalog
broken-symmetry-arrangement	asymmetry-incompleteness-irritation	Broken-symmetry arrangement	Asymmetry, Incompleteness & Irritation	Leaving one object/pattern intentionally out of alignment.	Receiving	Sensory/Psychological	Low	Low													Original catalog
delayed-correction	asymmetry-incompleteness-irritation	Delayed correction	Asymmetry, Incompleteness & Irritation	Receiver waits before fixing harmless wrongness.	Receiving	Sensory/Psychological	Low-Moderate	Low										Bounded endpoint.			Original catalog
sticky-hands-delay	asymmetry-incompleteness-irritation	Sticky-hands delay	Asymmetry, Incompleteness & Irritation	Briefly delaying cleanup of harmless sticky residue.	Receiving	Sensory/Psychological	Low	Low										Skin-safe materials.			Original catalog
wet-sock-aversion	asymmetry-incompleteness-irritation	Wet-sock aversion	Asymmetry, Incompleteness & Irritation	Briefly wearing clean damp sock as sensory aversion.	Receiving	Sensory/Psychological	Low-Moderate	Low										Short duration.			Original catalog
wrinkled-fabric-aversion	asymmetry-incompleteness-irritation	Wrinkled-fabric aversion	Asymmetry, Incompleteness & Irritation	Deliberately uneven/wrinkled clothing or towel sensation.	Receiving	Sensory/Psychological	Low	Low													Original catalog
pampering-kink	caretaking-reward-oriented	Pampering kink	Caretaking & Reward-Oriented	Enjoyment of being deliberately spoiled or cared for.	Receiving	Relational/Psychological	Low	Low													Original catalog
massage-as-reward	caretaking-reward-oriented	Massage as reward	Caretaking & Reward-Oriented	Massage used as intentional praise/reward.	Receiving	Relational/Psychological	Low	Low													Original catalog
hair-brushing-grooming	caretaking-reward-oriented	Hair brushing / grooming	Caretaking & Reward-Oriented	Grooming as intimacy, pet play, or reward.	Both	Relational/Psychological	Low	Low													Original catalog
bathing-washing-service	caretaking-reward-oriented	Bathing / washing service	Caretaking & Reward-Oriented	Partner prepares bath or helps wash/groom.	Both	Relational/Psychological	Low	Low													Original catalog
feeding-being-fed	caretaking-reward-oriented	Feeding / being fed	Caretaking & Reward-Oriented	Consensual caretaking around food presentation or feeding.	Both	Relational/Psychological	Low	Low										Never restrict necessary food/hydration.			Original catalog
blanket-nest-preparation	caretaking-reward-oriented	Blanket / nest preparation	Caretaking & Reward-Oriented	Preparing sensory-comfort space as caretaking.	Giving	Relational/Psychological	Low	Low													Original catalog
being-dressed	caretaking-reward-oriented	Being dressed	Caretaking & Reward-Oriented	Partner helps choose or put on clothing as care/control.	Receiving	Relational/Psychological	Low	Low													Original catalog
aftercare-ritual	caretaking-reward-oriented	Aftercare ritual	Caretaking & Reward-Oriented	Intentional post-scene comfort, grounding, reconnection.	Both	Relational/Psychological	Low	Low													Original catalog
service-receiving	caretaking-reward-oriented	Service receiving	Caretaking & Reward-Oriented	Enjoyment of having consensual acts of care/service performed.	Receiving	Relational/Psychological	Low	Low													Original catalog
spoiling-princess-treatment	caretaking-reward-oriented	Spoiling / princess treatment	Caretaking & Reward-Oriented	Deliberate indulgence, attention, and care as relational kink.	Receiving	Relational/Psychological	Low	Low													Original catalog
praise-ritual	caretaking-reward-oriented	Praise ritual	Caretaking & Reward-Oriented	Formal praise delivered at specific time or after task.	Receiving	Relational/Psychological	Low	Low													Original catalog
reward-ritual	caretaking-reward-oriented	Reward ritual	Caretaking & Reward-Oriented	Formal ceremony/phrase used when giving reward.	Both	Relational/Psychological	Low	Low													Original catalog
rigger	miscellaneous-meta-kink	Rigger	Miscellaneous & Meta-Kink	Enjoyment/identity centered on tying or restraining others.	Giving	Psychological/Relational	Variable	Variable										Often rope-specific.			Original catalog
rope-bunny	miscellaneous-meta-kink	Rope bunny	Miscellaneous & Meta-Kink	Enjoyment/identity centered on being tied.	Receiving	Psychological/Relational	Variable	Variable										Often rope-specific.			Original catalog
top	miscellaneous-meta-kink	Top	Miscellaneous & Meta-Kink	Person who performs an activity, not necessarily dominant relationally.	Giving	Psychological/Relational	Variable	Low										Role term.			Original catalog
bottom	miscellaneous-meta-kink	Bottom	Miscellaneous & Meta-Kink	Person who receives an activity, not necessarily submissive relationally.	Receiving	Psychological/Relational	Variable	Low										Role term.			Original catalog
service-top	miscellaneous-meta-kink	Service top	Miscellaneous & Meta-Kink	Top who enjoys giving sensation/service primarily for partner's pleasure.	Giving	Psychological/Relational	Variable	Low													Original catalog
service-submissive	miscellaneous-meta-kink	Service submissive	Miscellaneous & Meta-Kink	Submissive who expresses submission through service.	Receiving	Psychological/Relational	Variable	Low													Original catalog
sensory-seeker	miscellaneous-meta-kink	Sensory seeker	Miscellaneous & Meta-Kink	Enjoyment of strong or varied sensory input in kink contexts.	Receiving	Psychological/Relational	Variable	Variable										Useful profile dimension.			Original catalog
experimentalism	miscellaneous-meta-kink	Experimentalism	Miscellaneous & Meta-Kink	Enjoyment of trying new consensual activities and novelty.	Both	Psychological/Relational	Variable	Variable													Original catalog
gear-enthusiasm	miscellaneous-meta-kink	Gear enthusiasm	Miscellaneous & Meta-Kink	Enjoyment of acquiring, organizing, or using kink gear.	Both	Psychological/Relational	Low	Low													Original catalog
scene-ritual	miscellaneous-meta-kink	Scene ritual	Miscellaneous & Meta-Kink	Enjoyment of formal beginnings/endings, setup, repeated structure.	Both	Psychological/Relational	Low	Low													Original catalog
safeword-ritual	miscellaneous-meta-kink	Safeword ritual	Miscellaneous & Meta-Kink	Explicit negotiation/stop-language as part of structured play.	Both	Psychological/Relational	Low	Low										Safety practice.			Original catalog
reward-punishment-system	miscellaneous-meta-kink	Reward/punishment system	Miscellaneous & Meta-Kink	Behavioral structure using agreed rewards/consequences.	Both	Psychological/Relational	Variable	Variable										Consensual and bounded.			Original catalog
demerit-point-system	miscellaneous-meta-kink	Demerit / point system	Miscellaneous & Meta-Kink	Tracking behavior with points mapped to agreed outcomes.	Both	Psychological/Relational	Low	Low										Avoid infinite debt/stress.			Original catalog
randomizer-play	miscellaneous-meta-kink	Randomizer play	Miscellaneous & Meta-Kink	Using chance/random selection among pre-approved activities.	Both	Psychological/Relational	Variable	Variable													Original catalog
wheel-of-fate-play	miscellaneous-meta-kink	Wheel-of-fate play	Miscellaneous & Meta-Kink	Using spinner/wheel to select pre-negotiated options.	Both	Psychological/Relational	Variable	Variable													Original catalog
rule-making	miscellaneous-meta-kink	Rule-making	Miscellaneous & Meta-Kink	Enjoyment of creating consensual rules/protocols.	Giving	Psychological/Relational	Low	Low													Original catalog
rule-following	miscellaneous-meta-kink	Rule-following	Miscellaneous & Meta-Kink	Enjoyment of having clear consensual rules to follow.	Receiving	Psychological/Relational	Low	Low													Original catalog
gamification	miscellaneous-meta-kink	Gamification	Miscellaneous & Meta-Kink	Using points, streaks, cards, dice, or challenges in kink systems.	Both	Psychological/Relational	Low	Low													Original catalog
dice-chance-play	miscellaneous-meta-kink	Dice / chance play	Miscellaneous & Meta-Kink	Using dice to choose among pre-approved outcomes.	Both	Psychological/Relational	Variable	Variable													Original catalog
card-draw-play	miscellaneous-meta-kink	Card-draw play	Miscellaneous & Meta-Kink	Drawing cards to select tasks, rewards, consequences.	Both	Psychological/Relational	Variable	Variable													Original catalog
anal-sex	sexual-activities-techniques	Anal sex	Sexual Activities & Techniques	Consensual anal penetration as a sexual activity.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
fellatio-blowjob	sexual-activities-techniques	Fellatio / blowjob	Sexual Activities & Techniques	Oral stimulation of a penis.	Both	Physical/Sexual	Variable	Low-Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
cunnilingus	sexual-activities-techniques	Cunnilingus	Sexual Activities & Techniques	Oral stimulation of a vulva.	Both	Physical/Sexual	Variable	Low-Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
deep-throat-play	sexual-activities-techniques	Deep-throat play	Sexual Activities & Techniques	Oral play centered on deeper penetration and gag-reflex intensity.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
face-sitting	sexual-activities-techniques	Face-sitting	Sexual Activities & Techniques	One partner sits or hovers over the other's face as an oral-sex / power-position activity.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
hand-stimulation-handjob	sexual-activities-techniques	Hand stimulation / handjob	Sexual Activities & Techniques	Manual genital stimulation.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
vaginal-fingering	sexual-activities-techniques	Vaginal fingering	Sexual Activities & Techniques	Manual vaginal stimulation.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
anal-fingering	sexual-activities-techniques	Anal fingering	Sexual Activities & Techniques	Manual anal stimulation.	Both	Physical/Sexual	Variable	Low-Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
vaginal-fisting	sexual-activities-techniques	Vaginal fisting	Sexual Activities & Techniques	Hand insertion as an advanced penetration activity.	Both	Physical/Sexual	Variable	High										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
anal-fisting	sexual-activities-techniques	Anal fisting	Sexual Activities & Techniques	Hand insertion as an advanced anal activity.	Both	Physical/Sexual	Variable	High										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
pegging	sexual-activities-techniques	Pegging	Sexual Activities & Techniques	Strap-on anal penetration, commonly with a receiver who does not have a vagina.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
rimming-anilingus	sexual-activities-techniques	Rimming / anilingus	Sexual Activities & Techniques	Oral stimulation of the anus.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
69	sexual-activities-techniques	69	Sexual Activities & Techniques	Mutual oral stimulation at the same time.	Both	Physical/Sexual	Variable	Low-Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
mutual-masturbation	sexual-activities-techniques	Mutual masturbation	Sexual Activities & Techniques	Partners masturbate together or in view of one another.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
partner-watched-masturbation	sexual-activities-techniques	Partner-watched masturbation	Sexual Activities & Techniques	One partner masturbates while the other consensually watches.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
double-penetration	sexual-activities-techniques	Double penetration	Sexual Activities & Techniques	Simultaneous penetration involving two points of penetration or multiple partners/toys.	Both	Physical/Sexual	Variable	High										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
strap-on-play	sexual-activities-techniques	Strap-on play	Sexual Activities & Techniques	Use of a strap-on for penetration or power-role play.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
tribadism-scissoring	sexual-activities-techniques	Tribadism / scissoring	Sexual Activities & Techniques	Genital-to-genital rubbing between vulva-owning partners.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
intercrural-sex	sexual-activities-techniques	Intercrural sex	Sexual Activities & Techniques	Penetrative-style stimulation between the thighs rather than inside the body.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
frottage-grinding	sexual-activities-techniques	Frottage / grinding	Sexual Activities & Techniques	Erotic rubbing or grinding against a partner or clothing.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
sex-toy-dildo	sexual-activities-techniques	Sex toy: dildo	Sexual Activities & Techniques	Use of a non-vibrating insertable sex toy.	Both	Physical/Sexual	Variable	Low-Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
sex-toy-plug	sexual-activities-techniques	Sex toy: plug	Sexual Activities & Techniques	Use of an insertable plug, often for anal play.	Both	Physical/Sexual	Variable	Moderate										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
sex-toy-vibrator	sexual-activities-techniques	Sex toy: vibrator	Sexual Activities & Techniques	Use of a vibrating sex toy.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
magic-wand-stimulation	sexual-activities-techniques	Magic-wand stimulation	Sexual Activities & Techniques	Use of a broad-head vibrating massager for sexual stimulation.	Both	Physical/Sexual	Variable	Low										Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/	Added Sep 2026
